 rho:               u1:                 u2:                 u3:
 4.7285714       8.2319297E-09       2.2590253E-06       0.00014637169
 4.7428571       7.0546738E-09       1.9527037E-06       0.00012765342
 4.7571429       6.0199588E-09       1.6801266E-06       0.00011077250
 4.7714286       5.1116090E-09       1.4379296E-06       9.5576119E-05
 4.7857143       4.3153145E-09       1.2230934E-06       8.1924836E-05
 4.8000000       3.6184337E-09       1.0329134E-06       6.9691645E-05
 4.8142857       3.0098170E-09       8.6497133E-07       5.8761178E-05
 4.8285714       2.4796507E-09       7.1711059E-07       4.9028943E-05
 4.8428571       2.0193193E-09       5.8741333E-07       4.0400632E-05
 4.8571429       1.6212827E-09       4.7418049E-07       3.2791497E-05
 4.8714286       1.2789696E-09       3.7591377E-07       2.6125786E-05
 4.8857143       9.8668344E-10       2.9129984E-07       2.0336244E-05
 4.9000000       7.3952128E-10       2.1919643E-07       1.5363666E-05
 4.9142857       5.3330354E-10       1.5862031E-07       1.1156519E-05
 4.9285714       3.6451480E-10       1.0873712E-07       7.6706191E-06
 4.9428571       2.3025431E-10       6.8852824E-08       4.8688696E-06
 4.9571429       1.2819595E-10       3.8406913E-08       2.7210601E-06
 4.9714286       5.6557106E-11       1.6967220E-08       1.2037278E-06
 4.9857143       1.4076416E-11       4.2263881E-09       3.0008267E-07
